Age,Department,JobRole,MonthlyIncome,YearsAtCompany,OverTime,JobSatisfaction,Attrition_Probability,Risk_Level
26,Sales,Sales Executive,4306,0,No,3,0.11,LOW
42,Research & Development,Laboratory Technician,3968,0,No,3,0.11,LOW
29,Research & Development,Laboratory Technician,4723,10,Yes,1,0.11,LOW
58,Research & Development,Healthcare Representative,10312,40,No,4,0.11,LOW
34,Research & Development,Research Scientist,4505,1,No,2,0.11,LOW
35,Research & Development,Manufacturing Director,9362,2,No,4,0.11,LOW
28,Research & Development,Research Scientist,2703,3,Yes,3,0.11,LOW
27,Research & Development,Research Scientist,2235,9,Yes,1,0.11,LOW
29,Research & Development,Healthcare Representative,4335,8,No,3,0.11,LOW
26,Research & Development,Laboratory Technician,4364,2,No,4,0.11,LOW
43,Sales,Sales Executive,6804,2,No,4,0.11,LOW
56,Human Resources,Manager,19717,7,No,2,0.11,LOW
38,Sales,Sales Executive,5343,10,No,4,0.11,LOW
33,Research & Development,Healthcare Representative,5488,6,Yes,2,0.11,LOW
27,Research & Development,Healthcare Representative,6811,7,No,1,0.11,LOW
31,Research & Development,Laboratory Technician,4197,10,No,3,0.105,LOW
46,Sales,Sales Executive,7991,2,No,2,0.105,LOW
25,Research & Development,Research Scientist,3424,4,No,1,0.105,LOW
30,Research & Development,Laboratory Technician,3833,2,No,3,0.105,LOW
44,Research & Development,Research Scientist,2290,0,No,3,0.105,LOW
35,Research & Development,Healthcare Representative,5093,1,No,1,0.105,LOW
27,Research & Development,Laboratory Technician,3468,2,No,2,0.105,LOW
31,Research & Development,Manufacturing Director,6179,10,Yes,3,0.105,LOW
55,Research & Development,Manager,19187,19,No,3,0.105,LOW
38,Sales,Sales Executive,5666,5,Yes,4,0.105,LOW
27,Sales,Sales Representative,3540,9,No,3,0.105,LOW
29,Research & Development,Research Scientist,2451,1,No,3,0.1,LOW
51,Research & Development,Research Director,19537,20,No,3,0.1,LOW
51,Sales,Sales Executive,5441,10,Yes,4,0.1,LOW
31,Research & Development,Laboratory Technician,3978,2,No,3,0.1,LOW
33,Research & Development,Laboratory Technician,2496,1,No,4,0.1,LOW
49,Sales,Sales Executive,5390,9,No,2,0.1,LOW
26,Research & Development,Laboratory Technician,4420,8,No,4,0.1,LOW
30,Sales,Sales Executive,4115,4,No,1,0.1,LOW
21,Sales,Sales Representative,2610,3,No,4,0.1,LOW
59,Research & Development,Manufacturing Director,10512,9,No,4,0.1,LOW
35,Research & Development,Laboratory Technician,1281,1,No,3,0.1,LOW
39,Research & Development,Manufacturing Director,5295,5,No,2,0.1,LOW
34,Research & Development,Research Director,17007,14,No,1,0.1,LOW
42,Research & Development,Research Scientist,2372,1,Yes,2,0.1,LOW
44,Research & Development,Healthcare Representative,5933,5,No,2,0.1,LOW
46,Sales,Sales Executive,10453,24,No,1,0.1,LOW
31,Research & Development,Research Scientist,2657,2,Yes,2,0.1,LOW
23,Research & Development,Research Scientist,3505,2,No,3,0.1,LOW
37,Research & Development,Laboratory Technician,3500,6,No,3,0.1,LOW
47,Sales,Sales Executive,4591,5,Yes,3,0.095,LOW
42,Research & Development,Research Director,13191,1,Yes,1,0.095,LOW
39,Research & Development,Laboratory Technician,2232,3,No,3,0.095,LOW
41,Research & Development,Research Director,19545,22,No,3,0.095,LOW
52,Research & Development,Manufacturing Director,7969,5,Yes,3,0.095,LOW
36,Research & Development,Research Scientist,3419,1,Yes,1,0.095,LOW
39,Research & Development,Laboratory Technician,3755,8,No,3,0.095,LOW
40,Sales,Sales Executive,10855,12,No,4,0.095,LOW
28,Sales,Sales Executive,5253,7,No,4,0.095,LOW
35,Research & Development,Laboratory Technician,2705,5,No,3,0.095,LOW
39,Research & Development,Manufacturing Director,8376,2,No,2,0.095,LOW
37,Sales,Sales Executive,9525,6,No,4,0.095,LOW
38,Research & Development,Healthcare Representative,5811,1,Yes,4,0.095,LOW
35,Research & Development,Healthcare Representative,9884,4,Yes,1,0.095,LOW
36,Research & Development,Manufacturing Director,6499,6,No,2,0.095,LOW
27,Sales,Sales Executive,6500,8,No,3,0.095,LOW
42,Research & Development,Laboratory Technician,2093,2,No,3,0.095,LOW
36,Research & Development,Manufacturing Director,8858,14,No,4,0.095,LOW
28,Sales,Sales Executive,4779,8,Yes,2,0.095,LOW
32,Research & Development,Research Scientist,2439,4,No,1,0.095,LOW
37,Research & Development,Laboratory Technician,3629,3,No,3,0.095,LOW
58,Research & Development,Research Director,19701,9,Yes,1,0.095,LOW
36,Sales,Sales Executive,9278,5,Yes,2,0.095,LOW
38,Sales,Sales Executive,10609,16,No,3,0.095,LOW
26,Research & Development,Healthcare Representative,4741,5,Yes,1,0.095,LOW
30,Sales,Sales Representative,2983,3,No,2,0.095,LOW
32,Research & Development,Laboratory Technician,2837,6,No,2,0.095,LOW
20,Sales,Sales Representative,2783,2,No,3,0.09,LOW
25,Sales,Sales Executive,8639,2,No,3,0.09,LOW
36,Sales,Sales Executive,9738,9,No,4,0.09,LOW
42,Research & Development,Research Scientist,2515,2,Yes,4,0.09,LOW
52,Sales,Manager,19068,33,Yes,3,0.09,LOW
29,Research & Development,Research Scientist,2201,3,No,4,0.09,LOW
47,Research & Development,Laboratory Technician,2105,2,No,3,0.09,LOW
44,Research & Development,Research Director,16328,20,No,1,0.09,LOW
35,Research & Development,Healthcare Representative,7632,8,Yes,3,0.09,LOW
54,Research & Development,Research Scientist,2897,4,No,3,0.09,LOW
37,Sales,Sales Executive,9602,3,Yes,3,0.09,LOW
37,Research & Development,Healthcare Representative,5163,1,No,4,0.09,LOW
44,Sales,Sales Executive,13320,12,Yes,4,0.09,LOW
37,Research & Development,Healthcare Representative,4107,4,No,2,0.09,LOW
35,Sales,Sales Executive,10377,13,Yes,4,0.09,LOW
25,Research & Development,Laboratory Technician,3229,3,No,4,0.09,LOW
26,Research & Development,Research Scientist,2875,8,Yes,4,0.09,LOW
44,Research & Development,Research Scientist,2436,4,Yes,4,0.09,LOW
36,Research & Development,Laboratory Technician,3688,1,No,4,0.09,LOW
35,Research & Development,Laboratory Technician,2660,2,Yes,3,0.09,LOW
40,Research & Development,Laboratory Technician,2406,1,No,4,0.09,LOW
35,Research & Development,Laboratory Technician,4014,2,Yes,1,0.085,LOW
36,Research & Development,Laboratory Technician,2013,4,No,2,0.085,LOW
24,Human Resources,Human Resources,2145,2,No,4,0.085,LOW
39,Sales,Sales Executive,8237,7,No,3,0.085,LOW
41,Research & Development,Laboratory Technician,2238,5,No,1,0.085,LOW
58,Research & Development,Research Scientist,3346,1,Yes,2,0.085,LOW
26,Sales,Sales Executive,6272,5,No,2,0.085,LOW
29,Research & Development,Research Scientist,3785,5,No,1,0.085,LOW
60,Sales,Sales Executive,10266,18,No,1,0.085,LOW
43,Human Resources,Human Resources,3539,9,No,4,0.085,LOW
41,Research & Development,Laboratory Technician,2289,5,No,1,0.085,LOW
28,Research & Development,Research Scientist,1563,1,No,3,0.085,LOW
59,Human Resources,Human Resources,2267,2,No,3,0.085,LOW
32,Research & Development,Laboratory Technician,2794,5,No,2,0.085,LOW
40,Sales,Sales Executive,4327,0,No,2,0.085,LOW
36,Sales,Sales Executive,7587,10,No,1,0.085,LOW
35,Research & Development,Healthcare Representative,10388,16,Yes,3,0.085,LOW
40,Research & Development,Research Scientist,3617,1,Yes,2,0.085,LOW
37,Sales,Sales Executive,7642,10,Yes,2,0.085,LOW
44,Research & Development,Research Scientist,2559,8,Yes,1,0.085,LOW
45,Sales,Manager,17650,9,No,4,0.085,LOW
42,Human Resources,Human Resources,2696,3,Yes,3,0.085,LOW
27,Research & Development,Laboratory Technician,4621,3,No,3,0.085,LOW
39,Research & Development,Laboratory Technician,6782,5,No,2,0.085,LOW
42,Research & Development,Research Scientist,4556,5,No,3,0.085,LOW
42,Sales,Sales Executive,6244,5,No,3,0.08,LOW
39,Sales,Sales Executive,12031,20,No,4,0.08,LOW
31,Research & Development,Research Scientist,2695,2,Yes,4,0.08,LOW
40,Research & Development,Laboratory Technician,2387,4,No,2,0.08,LOW
33,Sales,Sales Executive,4373,4,No,1,0.08,LOW
25,Sales,Sales Executive,6180,6,No,4,0.08,LOW
27,Research & Development,Manufacturing Director,4298,2,No,1,0.08,LOW
52,Research & Development,Laboratory Technician,2950,5,No,1,0.08,LOW
42,Research & Development,Manufacturing Director,4434,9,No,2,0.08,LOW
36,Human Resources,Human Resources,2342,5,No,1,0.08,LOW
44,Research & Development,Laboratory Technician,2818,3,Yes,4,0.08,LOW
45,Sales,Sales Executive,10761,5,Yes,1,0.08,LOW
37,Sales,Sales Executive,6334,1,No,3,0.08,LOW
46,Sales,Manager,17465,12,No,3,0.08,LOW
27,Research & Development,Research Scientist,1706,0,No,4,0.08,LOW
40,Research & Development,Laboratory Technician,2213,7,Yes,3,0.08,LOW
46,Sales,Manager,17567,26,No,1,0.08,LOW
46,Sales,Sales Executive,5772,9,Yes,4,0.08,LOW
38,Human Resources,Human Resources,2991,6,Yes,2,0.08,LOW
59,Research & Development,Laboratory Technician,2670,1,Yes,1,0.08,LOW
42,Research & Development,Manufacturing Director,7406,10,Yes,1,0.08,LOW
34,Sales,Sales Executive,6029,2,No,4,0.08,LOW
43,Research & Development,Laboratory Technician,2258,3,No,4,0.08,LOW
55,Research & Development,Research Director,19038,1,No,1,0.08,LOW
34,Sales,Sales Representative,2231,4,No,3,0.08,LOW
36,Research & Development,Manufacturing Director,4941,3,No,2,0.08,LOW
29,Research & Development,Laboratory Technician,2974,5,No,3,0.08,LOW
53,Sales,Sales Executive,8381,14,No,1,0.08,LOW
32,Sales,Sales Executive,4668,8,No,4,0.08,LOW
45,Research & Development,Laboratory Technician,2348,17,No,2,0.08,LOW
29,Research & Development,Manufacturing Director,5056,10,Yes,4,0.08,LOW
27,Sales,Sales Executive,4105,7,No,4,0.075,LOW
50,Human Resources,Manager,18200,32,No,2,0.075,LOW
34,Sales,Sales Representative,2579,8,Yes,3,0.075,LOW
34,Research & Development,Research Scientist,2929,10,No,4,0.075,LOW
26,Research & Development,Laboratory Technician,2305,3,No,3,0.075,LOW
37,Sales,Sales Executive,8834,9,No,2,0.075,LOW
33,Research & Development,Healthcare Representative,4878,9,Yes,4,0.075,LOW
42,Sales,Sales Executive,6825,9,No,2,0.075,LOW
31,Research & Development,Research Scientist,3065,4,Yes,1,0.075,LOW
33,Research & Development,Research Director,13458,15,Yes,4,0.075,LOW
39,Sales,Sales Executive,5902,15,No,3,0.075,LOW
50,Sales,Manager,19331,1,Yes,3,0.075,LOW
35,Research & Development,Research Scientist,5208,16,No,1,0.075,LOW
36,Sales,Sales Executive,6815,1,No,3,0.075,LOW
30,Sales,Sales Executive,9250,4,No,2,0.075,LOW
33,Sales,Sales Executive,6392,2,No,1,0.075,LOW
51,Research & Development,Manufacturing Director,6132,1,No,3,0.075,LOW
29,Research & Development,Laboratory Technician,2532,4,No,4,0.075,LOW
44,Human Resources,Human Resources,10482,20,No,1,0.075,LOW
28,Research & Development,Laboratory Technician,2207,4,No,3,0.075,LOW
46,Sales,Manager,16872,7,Yes,2,0.075,LOW
55,Research & Development,Healthcare Representative,6385,8,Yes,2,0.075,LOW
35,Human Resources,Human Resources,4323,5,No,3,0.075,LOW
36,Research & Development,Laboratory Technician,3210,15,No,4,0.075,LOW
38,Research & Development,Research Scientist,3944,3,Yes,4,0.075,LOW
36,Sales,Sales Executive,6201,18,Yes,4,0.075,LOW
29,Sales,Sales Representative,2297,2,No,2,0.075,LOW
32,Sales,Sales Executive,4078,3,Yes,2,0.075,LOW
34,Research & Development,Laboratory Technician,5429,8,No,3,0.075,LOW
47,Sales,Sales Executive,13770,22,Yes,3,0.075,LOW
36,Sales,Sales Executive,9699,13,No,4,0.075,LOW
33,Research & Development,Research Scientist,2911,2,No,4,0.075,LOW
41,Sales,Sales Executive,6151,19,No,2,0.075,LOW
27,Research & Development,Research Scientist,3058,5,Yes,2,0.075,LOW
44,Sales,Sales Executive,4768,1,No,3,0.075,LOW
32,Sales,Sales Executive,9204,4,No,4,0.075,LOW
26,Sales,Sales Executive,4294,7,No,1,0.075,LOW
31,Research & Development,Manufacturing Director,8943,10,No,3,0.075,LOW
27,Sales,Sales Executive,4478,5,Yes,3,0.075,LOW
29,Research & Development,Laboratory Technician,3983,3,No,4,0.075,LOW
44,Research & Development,Research Scientist,2011,10,No,4,0.075,LOW
40,Research & Development,Research Scientist,2342,4,Yes,4,0.075,LOW
54,Research & Development,Laboratory Technician,3780,1,No,3,0.07,LOW
43,Research & Development,Healthcare Representative,7510,10,No,3,0.07,LOW
32,Research & Development,Manufacturing Director,9679,1,No,4,0.07,LOW
60,Research & Development,Manager,19566,29,No,1,0.07,LOW
25,Human Resources,Human Resources,2187,2,No,2,0.07,LOW
34,Sales,Sales Executive,4568,9,No,3,0.07,LOW
41,Sales,Sales Executive,6230,14,No,4,0.07,LOW
28,Research & Development,Manufacturing Director,6549,8,No,2,0.07,LOW
37,Research & Development,Manufacturing Director,4197,1,Yes,2,0.07,LOW
35,Research & Development,Healthcare Representative,6142,5,Yes,3,0.07,LOW
44,Human Resources,Human Resources,5743,10,Yes,4,0.07,LOW
44,Research & Development,Laboratory Technician,2042,3,No,2,0.07,LOW
38,Research & Development,Laboratory Technician,2440,4,No,2,0.07,LOW
33,Sales,Sales Executive,5368,6,Yes,4,0.07,LOW
22,Research & Development,Laboratory Technician,2523,2,No,4,0.07,LOW
28,Human Resources,Human Resources,2706,3,No,4,0.07,LOW
42,Sales,Sales Executive,5155,6,No,1,0.07,LOW
33,Research & Development,Research Scientist,2622,3,No,2,0.07,LOW
52,Research & Development,Laboratory Technician,3212,2,No,4,0.07,LOW
26,Research & Development,Laboratory Technician,3578,7,No,1,0.07,LOW
33,Research & Development,Laboratory Technician,3838,5,No,2,0.07,LOW
26,Research & Development,Research Scientist,3904,4,No,4,0.07,LOW
45,Sales,Sales Executive,8865,19,No,4,0.07,LOW
29,Sales,Sales Executive,4554,10,No,4,0.07,LOW
50,Research & Development,Research Director,19237,8,Yes,3,0.07,LOW
38,Research & Development,Research Scientist,2821,2,No,3,0.07,LOW
45,Human Resources,Human Resources,2177,6,No,2,0.07,LOW
29,Sales,Sales Executive,6644,0,No,2,0.07,LOW
41,Research & Development,Manufacturing Director,6032,5,Yes,2,0.07,LOW
28,Research & Development,Research Scientist,3660,8,No,3,0.07,LOW
43,Sales,Sales Executive,10798,1,No,4,0.07,LOW
41,Research & Development,Laboratory Technician,4766,1,Yes,4,0.07,LOW
25,Sales,Sales Executive,4194,5,Yes,1,0.07,LOW
47,Sales,Sales Executive,4163,9,Yes,4,0.07,LOW
22,Research & Development,Laboratory Technician,2451,4,No,1,0.07,LOW
37,Sales,Sales Representative,2973,5,No,4,0.07,LOW
48,Research & Development,Research Scientist,2259,0,No,3,0.07,LOW
31,Research & Development,Research Scientist,2356,6,Yes,4,0.07,LOW
29,Research & Development,Laboratory Technician,4193,9,Yes,3,0.07,LOW
47,Research & Development,Healthcare Representative,8633,17,No,3,0.065,LOW
39,Sales,Sales Executive,13341,20,No,1,0.065,LOW
35,Sales,Sales Executive,4859,5,No,3,0.065,LOW
34,Sales,Sales Executive,5337,10,No,4,0.065,LOW
28,Research & Development,Research Scientist,3591,3,No,1,0.065,LOW
31,Sales,Sales Representative,2329,7,No,3,0.065,LOW
59,Sales,Sales Executive,7637,21,No,1,0.065,LOW
43,Research & Development,Manager,19392,16,No,3,0.065,LOW
53,Sales,Sales Executive,10934,5,Yes,4,0.065,LOW
41,Research & Development,Healthcare Representative,6870,3,No,2,0.065,LOW
49,Research & Development,Laboratory Technician,3211,9,No,1,0.065,LOW
27,Research & Development,Research Scientist,3445,6,No,4,0.065,LOW
38,Research & Development,Laboratory Technician,2468,6,No,2,0.065,LOW
58,Sales,Sales Executive,13872,37,No,3,0.065,LOW
56,Sales,Sales Executive,13212,7,No,1,0.065,LOW
41,Sales,Manager,16015,22,No,2,0.065,LOW
37,Research & Development,Research Scientist,3936,8,No,2,0.065,LOW
45,Research & Development,Laboratory Technician,5769,10,Yes,1,0.065,LOW
36,Research & Development,Laboratory Technician,2835,1,No,4,0.065,LOW
27,Research & Development,Research Scientist,3517,3,No,3,0.065,LOW
53,Sales,Sales Executive,7525,15,No,2,0.065,LOW
27,Research & Development,Research Scientist,2024,2,No,2,0.065,LOW
50,Research & Development,Research Director,14411,32,Yes,4,0.065,LOW
38,Sales,Sales Executive,4198,3,No,2,0.065,LOW
35,Research & Development,Laboratory Technician,2690,1,No,4,0.065,LOW
46,Research & Development,Research Director,19627,2,No,4,0.065,LOW
37,Research & Development,Research Scientist,2115,17,No,4,0.065,LOW
36,Research & Development,Research Scientist,4485,8,No,2,0.065,LOW
23,Research & Development,Research Scientist,2819,3,No,1,0.065,LOW
51,Research & Development,Manufacturing Director,10650,4,No,4,0.065,LOW
30,Research & Development,Research Scientist,2632,5,No,3,0.065,LOW
35,Research & Development,Laboratory Technician,2376,2,No,4,0.065,LOW
43,Research & Development,Research Scientist,4081,20,Yes,3,0.065,LOW
37,Research & Development,Research Scientist,2996,6,Yes,3,0.065,LOW
54,Research & Development,Manufacturing Director,5485,5,Yes,1,0.065,LOW
27,Research & Development,Manufacturing Director,8793,9,No,1,0.065,LOW
35,Research & Development,Laboratory Technician,2450,3,No,1,0.065,LOW
29,Research & Development,Laboratory Technician,4025,4,Yes,2,0.065,LOW
58,Research & Development,Research Scientist,2372,2,No,3,0.065,LOW
27,Research & Development,Laboratory Technician,3816,5,No,2,0.065,LOW
36,Sales,Sales Executive,6652,6,No,4,0.065,LOW
43,Research & Development,Research Scientist,4739,3,No,3,0.06,LOW
34,Research & Development,Manufacturing Director,4724,9,No,4,0.06,LOW
26,Research & Development,Laboratory Technician,2867,7,No,1,0.06,LOW
45,Research & Development,Healthcare Representative,5399,4,No,3,0.06,LOW
49,Research & Development,Healthcare Representative,13964,7,Yes,3,0.06,LOW
45,Research & Development,Manufacturing Director,5906,9,No,4,0.06,LOW
28,Research & Development,Research Scientist,2044,5,No,4,0.06,LOW
47,Sales,Sales Executive,4978,1,No,2,0.06,LOW
32,Research & Development,Research Scientist,2718,7,No,2,0.06,LOW
35,Sales,Sales Executive,7823,10,No,4,0.06,LOW
24,Research & Development,Manufacturing Director,4377,4,No,3,0.06,LOW
55,Sales,Sales Executive,10239,1,No,4,0.06,LOW
22,Research & Development,Manufacturing Director,4775,2,No,4,0.06,LOW
29,Research & Development,Laboratory Technician,2062,3,No,1,0.06,LOW
32,Sales,Sales Executive,4403,5,No,4,0.06,LOW
55,Research & Development,Research Scientist,2662,5,No,4,0.06,LOW
40,Sales,Sales Executive,10932,1,No,1,0.06,LOW
42,Sales,Sales Executive,5087,0,Yes,4,0.06,LOW
44,Sales,Sales Executive,5454,4,Yes,1,0.06,LOW
40,Research & Development,Laboratory Technician,6323,10,No,3,0.06,LOW
53,Research & Development,Research Director,14275,12,No,4,0.06,LOW
31,Sales,Sales Representative,3067,2,No,3,0.06,LOW
40,Sales,Sales Executive,5473,8,No,1,0.06,LOW
37,Research & Development,Research Scientist,4285,10,No,4,0.06,LOW
48,Research & Development,Research Scientist,2367,8,No,1,0.06,LOW
34,Sales,Sales Representative,2308,11,Yes,3,0.06,LOW
40,Sales,Sales Executive,8396,7,No,1,0.06,LOW
22,Research & Development,Research Scientist,2244,2,No,2,0.06,LOW
30,Sales,Sales Executive,9419,10,No,4,0.06,LOW
23,Research & Development,Laboratory Technician,2272,4,No,3,0.06,LOW
42,Research & Development,Research Scientist,6545,3,Yes,1,0.06,LOW
34,Research & Development,Research Scientist,4381,6,No,1,0.06,LOW
34,Sales,Sales Executive,6125,10,No,1,0.06,LOW
34,Research & Development,Research Scientist,2311,3,No,2,0.06,LOW
32,Research & Development,Laboratory Technician,4025,8,No,3,0.06,LOW
33,Sales,Sales Executive,4037,9,No,1,0.06,LOW
34,Research & Development,Research Scientist,3622,6,Yes,4,0.06,LOW
42,Human Resources,Human Resources,6272,4,No,1,0.06,LOW
33,Sales,Sales Executive,9998,5,No,4,0.06,LOW
34,Research & Development,Manufacturing Director,5957,11,No,1,0.06,LOW
23,Research & Development,Laboratory Technician,2500,4,No,1,0.06,LOW
36,Research & Development,Laboratory Technician,2741,7,No,3,0.055,LOW
43,Sales,Sales Executive,10231,21,No,4,0.055,LOW
29,Research & Development,Research Scientist,2058,6,No,3,0.055,LOW
28,Research & Development,Research Scientist,2080,3,No,1,0.055,LOW
43,Research & Development,Research Director,19740,8,No,4,0.055,LOW
30,Sales,Sales Executive,5304,8,No,4,0.055,LOW
46,Human Resources,Human Resources,3423,7,No,1,0.055,LOW
34,Research & Development,Research Scientist,3815,5,Yes,3,0.055,LOW
45,Sales,Sales Executive,5006,5,Yes,1,0.055,LOW
35,Research & Development,Laboratory Technician,4230,5,No,3,0.055,LOW
39,Research & Development,Research Scientist,4108,7,No,4,0.055,LOW
34,Sales,Sales Executive,4538,3,Yes,1,0.055,LOW
39,Human Resources,Human Resources,6389,8,No,2,0.055,LOW
31,Sales,Sales Executive,6929,8,No,4,0.055,LOW
38,Research & Development,Manufacturing Director,7756,5,Yes,3,0.055,LOW
45,Sales,Sales Executive,4385,10,No,1,0.055,LOW
27,Research & Development,Laboratory Technician,4066,7,No,1,0.055,LOW
30,Research & Development,Research Scientist,2613,10,No,3,0.055,LOW
45,Research & Development,Laboratory Technician,3633,9,Yes,1,0.055,LOW
38,Human Resources,Human Resources,2592,11,No,2,0.055,LOW
44,Human Resources,Human Resources,3195,2,Yes,4,0.055,LOW
24,Sales,Sales Representative,2400,2,No,4,0.055,LOW
41,Human Resources,Human Resources,6430,3,No,2,0.055,LOW
34,Research & Development,Research Scientist,2932,5,Yes,4,0.055,LOW
41,Human Resources,Manager,19141,21,No,4,0.055,LOW
42,Research & Development,Laboratory Technician,2576,5,No,1,0.055,LOW
44,Research & Development,Manufacturing Director,10209,2,Yes,3,0.055,LOW
36,Research & Development,Laboratory Technician,2088,8,No,2,0.055,LOW
44,Human Resources,Human Resources,5985,2,No,3,0.055,LOW
36,Research & Development,Laboratory Technician,3038,1,No,4,0.055,LOW
37,Research & Development,Research Director,13664,5,No,3,0.055,LOW
31,Sales,Sales Executive,9637,3,No,1,0.055,LOW
35,Research & Development,Manufacturing Director,4788,3,Yes,2,0.055,LOW
35,Sales,Sales Executive,4717,11,No,3,0.055,LOW
38,Sales,Sales Representative,5405,4,Yes,4,0.055,LOW
31,Research & Development,Manufacturing Director,5238,5,No,4,0.055,LOW
53,Research & Development,Healthcare Representative,7005,4,No,4,0.055,LOW
38,Research & Development,Research Scientist,2619,0,No,1,0.055,LOW
50,Sales,Sales Executive,9208,2,No,4,0.055,LOW
53,Sales,Sales Executive,11836,2,No,4,0.055,LOW
40,Sales,Sales Executive,7457,4,Yes,4,0.055,LOW
40,Research & Development,Manufacturing Director,13237,20,No,3,0.055,LOW
55,Human Resources,Manager,19636,10,Yes,2,0.055,LOW
54,Research & Development,Manufacturing Director,4440,5,Yes,1,0.055,LOW
31,Research & Development,Manufacturing Director,9936,9,No,1,0.055,LOW
45,Research & Development,Manufacturing Director,9380,3,Yes,4,0.055,LOW
29,Human Resources,Human Resources,7988,10,No,1,0.055,LOW
40,Research & Development,Research Scientist,4422,1,Yes,4,0.055,LOW
40,Research & Development,Laboratory Technician,2741,7,Yes,4,0.055,LOW
30,Research & Development,Laboratory Technician,2564,11,No,4,0.055,LOW
34,Research & Development,Research Scientist,5484,2,No,4,0.055,LOW
38,Human Resources,Human Resources,6077,6,No,3,0.055,LOW
53,Research & Development,Manufacturing Director,10169,33,No,4,0.055,LOW
29,Research & Development,Research Scientist,2720,10,No,4,0.055,LOW
55,Research & Development,Manager,19045,36,Yes,1,0.055,LOW
30,Sales,Sales Executive,5301,2,No,3,0.055,LOW
28,Sales,Sales Executive,4898,4,No,1,0.055,LOW
53,Sales,Sales Representative,2306,7,Yes,3,0.055,LOW
34,Research & Development,Research Scientist,2979,0,No,4,0.055,LOW
23,Research & Development,Research Scientist,2073,2,No,3,0.055,LOW
26,Research & Development,Laboratory Technician,3955,5,No,1,0.055,LOW
55,Research & Development,Laboratory Technician,5415,10,Yes,4,0.05,LOW
24,Sales,Sales Executive,4260,5,Yes,3,0.05,LOW
56,Research & Development,Research Scientist,4257,2,Yes,1,0.05,LOW
34,Research & Development,Healthcare Representative,5063,8,No,3,0.05,LOW
38,Research & Development,Manufacturing Director,7861,1,Yes,3,0.05,LOW
25,Sales,Sales Executive,6232,3,No,3,0.05,LOW
37,Research & Development,Laboratory Technician,3452,5,No,1,0.05,LOW
31,Research & Development,Healthcare Representative,6833,6,Yes,1,0.05,LOW
38,Research & Development,Manufacturing Director,6553,1,No,3,0.05,LOW
27,Sales,Sales Executive,5769,6,Yes,4,0.05,LOW
56,Research & Development,Manager,19943,5,No,1,0.05,LOW
25,Sales,Sales Executive,4950,4,No,4,0.05,LOW
36,Research & Development,Healthcare Representative,7094,7,No,3,0.05,LOW
56,Research & Development,Healthcare Representative,11103,10,No,4,0.05,LOW
38,Sales,Sales Executive,5249,8,No,4,0.05,LOW
42,Research & Development,Laboratory Technician,2593,9,Yes,1,0.05,LOW
46,Human Resources,Human Resources,5021,4,Yes,2,0.05,LOW
45,Research & Development,Laboratory Technician,5210,24,No,1,0.05,LOW
32,Sales,Sales Executive,5228,13,Yes,2,0.05,LOW
38,Research & Development,Laboratory Technician,2406,10,No,4,0.05,LOW
34,Sales,Sales Executive,6538,3,No,3,0.05,LOW
42,Research & Development,Healthcare Representative,5538,0,No,1,0.05,LOW
31,Sales,Sales Executive,6932,9,No,3,0.05,LOW
35,Sales,Sales Executive,9069,9,No,1,0.05,LOW
33,Sales,Sales Executive,5376,5,No,1,0.05,LOW
37,Research & Development,Research Scientist,3022,1,No,2,0.05,LOW
35,Research & Development,Research Scientist,2977,4,No,4,0.05,LOW
24,Research & Development,Laboratory Technician,3162,5,No,4,0.05,LOW
33,Sales,Sales Executive,4682,7,No,4,0.05,LOW
32,Research & Development,Laboratory Technician,2332,3,No,2,0.05,LOW
37,Research & Development,Manufacturing Director,6347,6,No,4,0.05,LOW
43,Research & Development,Manufacturing Director,4765,1,No,2,0.05,LOW
41,Sales,Sales Executive,9241,10,No,3,0.05,LOW
33,Sales,Sales Representative,2342,2,No,4,0.05,LOW
40,Research & Development,Laboratory Technician,3448,1,No,3,0.05,LOW
24,Research & Development,Laboratory Technician,3907,6,No,1,0.05,LOW
27,Research & Development,Laboratory Technician,2811,2,No,2,0.05,LOW
40,Sales,Sales Executive,10475,18,Yes,1,0.05,LOW
52,Research & Development,Healthcare Representative,10445,8,No,2,0.05,LOW
53,Research & Development,Research Director,16598,9,No,2,0.05,LOW
39,Sales,Sales Executive,6120,5,Yes,4,0.05,LOW
35,Research & Development,Laboratory Technician,3917,3,No,4,0.05,LOW
38,Research & Development,Research Scientist,2684,2,No,3,0.05,LOW
41,Research & Development,Manufacturing Director,5003,2,No,3,0.05,LOW
55,Research & Development,Research Scientist,3537,4,No,2,0.05,LOW
28,Research & Development,Healthcare Representative,5661,8,No,1,0.05,LOW
34,Research & Development,Research Scientist,2553,5,No,4,0.05,LOW
28,Research & Development,Manufacturing Director,4877,5,No,1,0.05,LOW
38,Research & Development,Manufacturing Director,5980,15,Yes,1,0.05,LOW
22,Research & Development,Research Scientist,2773,2,No,3,0.05,LOW
29,Research & Development,Research Scientist,2700,10,No,3,0.05,LOW
37,Research & Development,Research Scientist,3564,8,Yes,1,0.05,LOW
46,Sales,Manager,17048,26,No,1,0.05,LOW
34,Research & Development,Manufacturing Director,5121,0,No,1,0.05,LOW
21,Research & Development,Research Scientist,3117,2,No,4,0.045,LOW
26,Research & Development,Laboratory Technician,2570,7,No,4,0.045,LOW
46,Research & Development,Healthcare Representative,10673,10,Yes,1,0.045,LOW
